tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
4	Layered series	6B053:6B054:6B055	279.5	36	20.2	3	3	3	0	0.06	18	46.68	-92.24	Intrusive:Igneous	Pluton	Melagabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"RR cut in pyroxenitic, massive coarse-grained gabbro"
5	Layered series	6B056:6B057:6B058	279.5	55	13.5	3	3	3	0	0.06	22	46.68	-92.24	Intrusive:Igneous	Pluton	Melagabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"200' E of station 4, insimilar but slightly more felsic rock"
6	Layered series	6B060	280.5	32		1	1	1	0	0.06		46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Strongly laminated gabbro exposed in RR cut
7	Layered series	6B061:6B062:6B063:6B064:6B065	278	33	84.8	5	5	5	0	0.06	6.8	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"strongly banded gabbro, 150' E of sation 6"
8	Layered series	6B066:6B067:6B068:6B069:6B070:6B071:6B072	290.5	43	345.3	7	7	7	0	0.06	2.8	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Alternating fine-grained mafic gabbro and coarse-grain felsic gabbro, in 3-10 cm bands. 100' E of station 8"
9	Layered series	6B073:6B074:6B075	281.5	42	35.4	3	3	3	0	0.06	13.6	46.68	-92.23	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Road cut in material similar to station 8
10	Layered series	6B076:6B077:6B078	297.5	30.5	14.6	3	3	3	0	0.06	21.2	46.7	-92.23	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Unbanded gabbro exposed in abandoned quarry
11	Layered series	6B080	284	30.5		1	1	1	0	0.06		46.7	-92.22	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Road cut in coarse, unbanded gabbro"
12	Layered series	6B082:6B083:6B084:6B085:6B086	284.5	36	42.5	5	5	5	0	0.06	9.6	46.72	-92.21	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Natural exposure of strongly banded, heterogeneous gabbros"
13	Layered series	K131.2:K131.3:K131.4:K131.5:K131.6:K131.7	281.5	28	437	6	6	6	0	0.06	2.7	46.69	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Strongly banded gabbros like station 8, exposed in road cut"
14	Layered series	K132.1:K132.2:K132.3:K132.4:K132.5:K132.6:K132.7	287	35	334.2	7	7	7	0	0.06	2.9	46.72	-92.2	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse grained, equi-granular, slightly banded gabbro exposed in large road cut"
15	Layered series	6B087:6B088	290	31.5		2	2	2	0	0.06		46.73	-92.21	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Strongly banded gabbro exposed in road cut
17	Layered series	6B092:6B093:6B094	279.5	37	79.5	3	3	3	0	0.06	9.1	46.74	-92.19	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Road cut in coarse, quigranular gabbro intruded by granophyre dike"
